F5344B9C,2018-02-23 00:00:00,2018-06-23 00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,1
F5344B10C,2018-02-24 00:00:00,2018-06-24 00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,2
F5344B11C,2018-02-25 00:00:00,2018-06-25 00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,1
F5344B12C,2018-02-26 00:00:00,2018-06-26 00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,1
F5344B13C,2018-02-27 00:00:00,2018-06-27 00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,2
F5344B14C,2018-02-28 00:00:00,2018-06-28 00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,1
F5344B15C,2018-02-23 00:00:00,2018-06-29 00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,1
F5344B16C,2018-02-24 00:00:00,2018-06-30 00:00:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,3
F5344B17C,2018-02-25 00:00:00,2018-06-26 00:00:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,19:50:00,24:00:00,00:00:00,08:10:00,3
F5344B18C,2018-02-26 00:00:00,2018-06-27 00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,07:50:00,20:10:00,00:00:00,00:00:00,2
F5344B19C,2018-02-27 00:00:00,2018-06-28 00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,1
